CUADRO=001 | FILA=8 | PN=PN00001MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=001 | FILA=10 | PN=PN00002MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > (Millones de USD)
CUADRO=001 | FILA=11 | PN=PN00003MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 1. Activos
CUADRO=001 | FILA=12 | PN=PN00004MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos
CUADRO=001 | FILA=14 | PN=PN00005MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO
CUADRO=001 | FILA=16 | PN=PN00006MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > (Millones de USD) 2/
CUADRO=001 | FILA=18 | PN=PN00007MM | DESC=III. ACTIVOS INTERNOS NETOS
CUADRO=001 | FILA=19 | PN=- | DESC=III. ACTIVOS INTERNOS NETOS > 1. Sector público
CUADRO=001 | FILA=20 | PN=PN00009MM | DESC=III. ACTIVOS INTERNOS NETOS > 1. Sector público > a. En moneda nacional
CUADRO=001 | FILA=21 | PN=PN00010MM | DESC=III. ACTIVOS INTERNOS NETOS > 1. Sector público > b. En moneda extranjera
CUADRO=001 | FILA=22 | PN=PN00011MM | DESC=III. ACTIVOS INTERNOS NETOS > 1. Sector público > b. En moneda extranjera > (millones de USD)
CUADRO=001 | FILA=23 | PN=PN00012MM | DESC=III. ACTIVOS INTERNOS NETOS > 2. Crédito al Sector Privado
CUADRO=001 | FILA=24 | PN=PN00013MM | DESC=III. ACTIVOS INTERNOS NETOS > 2. Crédito al Sector Privado > a. En moneda nacional
CUADRO=001 | FILA=25 | PN=PN00014MM | DESC=III. ACTIVOS INTERNOS NETOS > 2. Crédito al Sector Privado > b. En moneda extranjera
CUADRO=001 | FILA=26 | PN=PN00015MM | DESC=III. ACTIVOS INTERNOS NETOS > 2. Crédito al Sector Privado > b. En moneda extranjera > (millones de USD)
CUADRO=001 | FILA=27 | PN=PN00016MM | DESC=III. ACTIVOS INTERNOS NETOS > 3. Otras Cuentas
CUADRO=001 | FILA=29 | PN=PN00017MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/
CUADRO=001 | FILA=30 | PN=PN00018MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 1. Moneda Nacional
CUADRO=001 | FILA=31 | PN=PN00019MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 1. Moneda Nacional > a. Dinero 4/
CUADRO=001 | FILA=32 | PN=PN00020MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 1. Moneda Nacional > a. Dinero 4/ > i. Circulante
CUADRO=001 | FILA=33 | PN=PN00021MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 1. Moneda Nacional > a. Dinero 4/ > ii. Depósitos a la Vista
CUADRO=001 | FILA=34 | PN=PN00022MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 1. Moneda Nacional > b. Cuasidinero
CUADRO=001 | FILA=36 | PN=PN00023MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 2. Moneda Extranjera
CUADRO=001 | FILA=37 | PN=PN00024MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 2. Moneda Extranjera > (Millones de USD) Nota:
CUADRO=001 | FILA=39 | PN=PN00025MM | DESC=IV. LIQUIDEZ (=I+II+III) 3/ > 2. Moneda Extranjera > Coeficiente de dolarización de la liquidez (%)
