CUADRO=011 | COLUMNA_DESC=B
CUADRO=011 | FILA=8 | PN=PN00105MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO
CUADRO=011 | FILA=10 | PN=PN00106MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > (Millones de USD)
CUADRO=011 | FILA=11 | PN=PN00107MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 1. Activos
CUADRO=011 | FILA=12 | PN=PN00108MM | DESC=I. ACTIVOS EXTERNOS NETOS DE CORTO PLAZO > 2. Pasivos
CUADRO=011 | FILA=16 | PN=PN00110MM | DESC=II. ACTIVOS EXTERNOS NETOS DE LARGO PLAZO > (Millones de USD) 2/
CUADRO=011 | FILA=18 | PN=PN00111MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4)
CUADRO=011 | FILA=19 | PN=PN00112MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto)
CUADRO=011 | FILA=20 | PN=PN00113MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central
CUADRO=011 | FILA=21 | PN=PN00114MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Créditos
CUADRO=011 | FILA=22 | PN=PN00115MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > a. Gobierno Central > - Obligaciones
CUADRO=011 | FILA=23 | PN=PN00116MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/
CUADRO=011 | FILA=24 | PN=PN00117MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Créditos
CUADRO=011 | FILA=25 | PN=PN00118MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 1. Sector Público (neto) > b. Resto Sector Público 3/ > - Obligaciones
CUADRO=011 | FILA=26 | PN=PN00119MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 2. Sector Privado
CUADRO=011 | FILA=27 | PN=PN00120MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias
CUADRO=011 | FILA=28 | PN=PN00121MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > a. BCRP
CUADRO=011 | FILA=29 | PN=PN00122MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > i. Efectivo
CUADRO=011 | FILA=30 | PN=PN00123MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > i. Efectivo > ii. Depósitos y valores
CUADRO=011 | FILA=31 | PN=PN00124MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > i. Efectivo > ii. Depósitos y valores > - Depósitos en Moneda Nacional
CUADRO=011 | FILA=32 | PN=PN00125MM | DESC=III. ACTIVOS INTERNOS NETOS (1+2+3+4) > 3. Operaciones Interbancarias > i. Efectivo > ii. Depósitos y valores > * Cuenta corriente
